time,pressure,vstress,hstress,vstrain,hstrain
0,324.3,318.8,0,2.223,-0.307
0.1,324.2,318.7,0,2.223,-0.307
0.2,324.3,318.8,-0.1,2.22,-0.307
0.3,324.2,318.8,0,2.223,-0.307
0.4,324.2,318.7,0,2.22,-0.307
0.5,327.9,319.5,2.8,2.223,-0.307
0.6,345.3,323.5,43,2.223,-0.307
0.7,351.5,324.1,55,2.221,-0.279
0.8,360.8,327.4,77,2.219,-0.038
0.9,363.9,327.7,85.4,2.218,-0.038
1,363.7,327.1,86.1,2.215,0.127
1.1,354.2,324.3,78.9,2.215,0.245
1.2,351.1,321.6,73.5,2.214,0.275
1.3,338,307.3,44.7,2.216,0.275
1.4,327,303.8,20.3,2.215,0.272
1.5,315.5,300.2,-7.6,2.215,0.219
1.6,301.6,300.6,-39.6,2.217,0.124
1.7,293.2,299.7,-61.9,2.218,-0.133
1.8,285.5,300.1,-80.9,2.221,-0.133
1.9,282.5,300.1,-90.4,2.224,-0.353
2,282.9,300.5,-91,2.224,-0.493
2.1,292.1,302.5,-82.8,2.23,-0.555
2.2,295,304.8,-76.5,2.232,-0.555
2.3,307.2,313.3,-46.5,2.232,-0.562
2.4,319.6,315,-17.8,2.231,-0.549
2.5,331.6,319.8,11.4,2.231,-0.466
2.6,343.3,321.5,37.4,2.225,-0.329
2.7,352.5,323.4,58.5,2.218,-0.329
2.8,360.6,326.7,77.1,2.217,-0.103
2.9,363.7,327.2,86.1,2.216,0.099
3,363.7,326.9,87.9,2.216,0.22
3.1,354.7,322.8,79.5,2.214,0.22
3.2,350.7,318.6,71.2,2.214,0.261
3.3,337.8,306.7,42.8,2.214,0.263
3.4,326.7,303,18.2,2.214,0.238
3.5,314.9,300.2,-8.3,2.214,0.147
3.6,301.4,300.2,-39.8,2.216,0.147
3.7,292.9,299.5,-62.6,2.218,-0.019
3.8,285.4,299.3,-82.8,2.221,-0.3
3.9,282.5,299.3,-91.4,2.221,-0.462
4,282.8,299.6,-92.2,2.228,-0.462
4.1,292.3,302,-83.7,2.232,-0.545
4.2,295.1,304.3,-76.1,2.232,-0.565
4.3,307.6,313.9,-46.2,2.232,-0.559
4.4,318.6,315,-17.4,2.232,-0.559
4.5,333.6,319.7,13.8,2.231,-0.514
4.6,350,323.1,50.9,2.223,-0.395
4.7,361.6,327.6,80.1,2.218,-0.163
4.8,370.7,328.6,100.1,2.215,0.143
4.9,376,329.6,116.9,2.215,0.143
5,376.1,329.2,118.2,2.213,0.451
5.1,374.9,328.3,116.3,2.213,0.675
